Elke;2;4
Ella;2;2
Elle;2;2
Ellen;2;2
Ellery;1;2
Elli;2;4
Ellie;2;2
Elliott;1;2
Ellis;1;2
Elma;2;4
Elmer;1;3
Elmira;2;2
Elmo;1;7
Élodie;2;8
Eloi;1;8
Eloisa;2;1
Eloise;2;2
Éloïse;2;8
Elpidio;1;1
Elroy;1;2
Elsa;2;7
Elsdon;1;2
Else;2;4
Elsie;2;2
Elton;1;2
Elvira;2;1
Elvire;2;8
Elvis;1;2
Elwood;1;2
Elyse;2;2
Emanuel;1;4
Emanuela;2;1
Emanuele;1;1
Emeline;2;8
Emerald;2;2
Émeric;1;8
Emerson;3;2
Emery;3;2
Emidio;1;1
Emil;1;6
Émile;1;8
Emilia;2;3
Emiliana;2;1
Emiliano;1;1
Emilie;2;4
Émilie;2;8
Émilien;1;8
Émilienne;2;8
Emilio;1;1
Emily;2;2
Emma;2;15
Emmanuel;1;10
Emmanuelle;2;8
Emmerich;1;4
Emmett;1;2
Enea;1;1
Engel;1;4
Engelbert;1;4
Enio;1;1
Ennio;1;1
Enola;2;2
Enrica;2;1
Enrico;1;1
Enzo;1;9
Epifanio;1;1
Epiphany;2;2
Erasmo;1;1
Ercole;1;1
Erdmann;1;4
Erhard;1;4
Eric;1;7
Éric;1;8
Erica;2;7
Erik;1;7
Erika;2;7
Erin;2;2
Ermanno;1;1
Ermelinda;2;1
Ermenegilda;2;1
Ermenegilde;1;8
Ermenegildo;1;1
Ermes;1;1
Ermete;1;1
Erminia;2;1
Erminio;1;1
Erna;2;4
Ernest;1;10
Ernesta;2;1
Ernestine;2;14
Ernesto;1;1
Ernst;1;4
Errol;1;2
Ersilia;2;1
Erskine;1;2
Erwin;1;4
Esme;3;2
Esmeralda;2;3
Esmond;1;2
Essence;2;2
Estelle;2;10
Esther;2;10
Ethan;1;10
Ethel;2;2
Ethelbert;1;2
Ethelyn;2;2
Étienne;1;8
Étiennette;2;8
Ettore;1;1
Eufemia;2;1
Eugen;1;4
Eugene;1;2
Eugène;1;8
Eugenia;2;3
Eugénie;2;8
Eugenio;1;1
Eulalia;2;3
Eulalie;2;8
Eunice;2;2
Euphrasie;2;8
Eusebio;1;1
Eustace;1;2
Eustache;1;8
Eustachio;1;1
Eustacia;2;2
Eustorgio;1;1
Eutimio;1;1
Eva;2;7
Evan;1;2
Evander;1;2
Evangeline;2;2
Évariste;1;8
Evaristo;1;1
Eve;2;10
Ève;2;8
Evelina;2;3
Eveline;2;8
Evelyn;3;6
Évelyne;2;8
Everard;1;2
Everett;1;2
Evert;1;4
Évrard;1;8
Ewald;1;4
Ewart;1;2
Ezekiel;1;2
Ezio;1;1
Ezra;1;2
Fabia;2;1
Fabian;1;4
