Romeo,1,1,0,
Romilda,2,1,0,
Romina,2,1,0,
Romola,2,1,0,
Romolo,1,1,0,
Rosa,2,3,0,Rosina
Rosabella,2,1,0,
Rosalba,2,1,0,
Rosalia,2,1,0,
Rosalinda,2,1,0,
Rosangela,2,1,0,
Rosanna,2,3,0,
Rosaria,2,1,0,
Rosario,3,3,0,
Rosetta,2,1,0,
Rossana,2,1,0,
Rossella,2,1,0,Rosella
Rubina,2,1,0,
Rufino,1,1,0,
Ruggero,1,1,0,
Rut,2,1,0,
Sabina,2,1,0,Savina
Sabino,1,1,0,Savino
Sabrina,2,3,0,
Salvatore,1,1,0,
Salvatrice,2,1,0,
Salvo,1,1,0,
Samanta,2,1,0,Samantha
Samuela,2,1,0,
Samuele,1,1,0,Samuel
Sansone,1,1,0,
Santa,2,1,0,Santina Santuzza
Santo,1,1,0,Sante Santino
Sara,2,3,0,
Saturnino,1,1,0,
Saveria,2,1,0,
Saverio,1,1,0,
Savio,1,1,0,
Scevola,1,1,0,
Scilla,2,1,0,
Sebastiana,2,1,0,
Sebastiano,1,1,0,
Selvaggia,2,1,0,
Serafina,2,1,0,
Serafino,1,1,0,
Serena,2,3,0,
Sergio,1,1,0,
Sesto,1,1,0,Sisto
Settimio,1,1,0,
Severiano,1,1,0,
Severina,2,1,0,
Severino,1,1,0,
Severo,1,1,0,
Sibilla,2,1,0,
Sigfrido,1,1,0,
Silvana,2,1,0,
Silvano,1,1,0,
Silvestra,2,1,0,
Silvestro,1,1,0,
Silvia,2,3,0,
Silvio,1,1,0,
Simona,2,1,0,
Simone,1,1,0,
Simonetta,2,1,0,
Sofia,2,1,0,
Sonia,2,3,0,
Stefania,2,1,0,
Stefano,1,1,0,
Stella,2,3,0,
Susanna,2,3,0,
Sveva,2,1,0,
Tacito,1,1,0,
Taddeo,1,1,0,
Taide,2,1,0,
Tamara,2,3,0,
Tammaro,1,1,0,
Tancredi,1,1,0,
Tania,2,3,0,
Tatiana,2,3,0,
Tecla,2,1,0,
Teo,1,1,0,
Teobaldo,1,1,0,
Teodora,2,1,0,
Teodoro,1,1,0,
Teodosio,1,1,0,
Teofila,2,1,0,
Teofilo,1,1,0,
Terenzio,1,1,0,
Teresa,2,3,0,
Terzo,1,1,0,
Timoteo,1,1,0,
Tina,2,3,0,
Tino,1,1,0,
Tito,1,1,0,
Tiziana,2,1,0,
Tiziano,1,1,0,
Tommaso,1,1,0,
Tullia,2,1,0,Tulia
Tullio,1,1,0,Tulio
Uberto,1,1,0,
Ugo,1,1,0,
Ulderico,1,1,0,
Ulisse,1,1,0,
Umberto,1,1,0,
Urbana,2,1,0,
Urbano,1,1,0,
Valentina,2,1,0,
Valentino,1,1,0,
Valeria,2,1,0,
Valerio,1,1,0,
Vanessa,2,3,0,
Vanna,2,1,0,
Vanni,1,1,0,
Vasco,1,1,0,
Velia,2,1,0,
Venceslao,1,1,0,
Veronica,2,3,0,Veronika
Vespasiano,1,1,0,
Vico,1,1,0,
Vilfredo,1,1,0,
Vincente,1,1,0,
Vincenza,2,1,0,
Vincenzo,1,1,0,
Vinicio,1,1,0,
Viola,2,3,0,
Violetta,2,1,0,
Virgilio,1,1,0,
Virginia,2,3,0,
Vita,2,1,0,
Vitale,1,1,0,
Vitalia,2,1,0,
Vito,1,1,0,
Vittore,1,1,0,
Vittoria,2,1,0,
Vittorio,1,1,0,Vittorino
Viviana,2,1,0,Bibiana
Walter,1,3,0,
Zaira,2,1,0,
Zita,2,1,0,
Zoe,2,3,0,
